dataset,fold,seed,method,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,sample_count,actual_anomaly_count,unseen_count,accuracy,precision,recall,f1_score
SKAB,4,999,persistence_baseline,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5305936073059361,0.44096385542168676,0.8798076923076923,0.5874799357945425
SKAB,4,999,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5625570776255707,0.4591439688715953,0.8509615384615384,0.5964616680707666
SKAB,4,999,persistence_baseline,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,999,persistence_plus_block_confidence,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,5,42,persistence_baseline,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,1118,417,0,0.4525939177101968,0.39436619718309857,0.8729016786570744,0.5432835820895522
SKAB,5,42,persistence_plus_block_confidence,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,1118,417,0,0.4525939177101968,0.39436619718309857,0.8729016786570744,0.5432835820895522
SKAB,5,42,persistence_baseline,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,1118,417,0,0.43917710196779963,0.38660907127429806,0.8585131894484412,0.5331347728965004
SKAB,5,42,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,1118,417,0,0.43917710196779963,0.38660907127429806,0.8585131894484412,0.5331347728965004
SKAB,5,42,persistence_baseline,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,0,0,0,0.0,0.0,0.0,0.0
SKAB,5,42,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.6885258629643474,7,0.0,True,0,0,0,0.0,0.0,0.0,0.0
SKAB,5,123,persistence_baseline,original,4,3,0.01,10,1.0,0.0,4,0.7,-0.021662718826137198,4,5.342334251964811,False,1118,417,0,0.4937388193202147,0.25573770491803277,0.18705035971223022,0.21606648199445982
